nr;temperature_indoor;temperature_outdoor;door
1;19.52;14.08;1
2;19.52;14.08;1
3;19.52;14.08;1
4;19.52;14.08;1
5;19.52;14.08;1
6;19.52;14.08;1
7;19.52;13.76;1
8;19.52;14.08;1
9;19.52;13.76;1
10;19.52;13.76;1
11;19.52;13.76;1
12;19.52;13.76;1
13;19.52;13.76;1
14;19.52;13.76;1
15;19.52;13.76;1
16;19.52;13.76;1
17;19.52;13.76;1
18;19.52;13.76;1
19;19.52;13.76;1
20;19.52;13.76;1
21;19.52;13.76;1
22;19.52;13.76;1
23;19.52;13.76;1
24;19.52;13.76;1
25;19.52;13.76;1
26;19.52;14.08;1
27;19.52;13.76;1
28;19.52;13.76;1
29;19.52;13.76;1
30;19.52;13.76;1
31;19.52;13.76;1
32;19.52;13.76;0
33;19.52;13.76;0
34;19.52;13.76;0
35;19.20;13.76;0
36;19.20;13.76;0
37;19.20;13.76;0
38;19.20;13.76;0
39;19.20;13.76;0
40;19.20;13.76;0
41;19.20;13.76;0
42;19.20;14.08;0
43;19.20;13.76;0
44;19.20;14.08;0
45;19.20;14.08;0
46;19.20;14.08;0
47;19.20;13.76;0
48;19.20;13.76;0
49;19.20;13.76;0
50;19.20;13.76;0
51;19.20;13.76;0
52;19.20;13.76;0
53;19.20;13.76;0
54;19.20;13.76;0
55;19.20;13.76;0
56;19.20;13.76;0
57;19.20;13.76;0
58;19.20;13.76;0
59;19.20;13.76;0
60;19.20;13.76;0
61;19.20;13.76;0
62;19.20;13.76;0
63;19.20;13.76;0
64;19.20;13.76;0
65;19.20;13.76;0
66;19.20;13.76;0
67;19.20;13.76;0
68;19.20;13.76;0
69;19.20;13.76;0
70;19.20;13.76;0
71;19.20;13.76;0
72;19.20;13.76;0
73;19.20;13.44;0
74;19.20;13.76;0
75;19.20;13.76;0
76;19.20;13.76;0
77;19.20;13.44;0
78;19.20;13.44;0
79;19.20;13.44;0
80;19.20;13.76;0
81;19.20;13.44;0
82;19.20;13.44;0
83;19.20;13.44;0
84;19.20;13.76;0
85;19.20;13.44;0
86;19.20;13.76;0
87;19.20;13.76;0
88;19.20;13.76;0
89;19.20;13.44;0
90;19.20;13.44;0
91;19.20;13.44;0
92;19.20;13.44;0
93;19.20;13.44;0
94;19.20;13.44;0
95;18.88;13.44;0
96;19.20;13.44;0
97;18.88;13.44;0
98;18.88;13.44;0
99;18.88;13.12;0
100;18.88;13.44;0
101;18.88;13.12;0
102;18.88;13.44;0
103;18.88;13.12;0
104;18.88;13.12;0
105;18.88;13.12;0
106;18.88;13.12;0
107;18.88;13.12;0
108;18.88;13.12;0
109;18.88;13.12;0
110;18.88;13.12;0
111;18.88;13.12;0
112;18.88;13.12;0
113;18.88;13.12;0
114;18.88;13.12;0
115;18.88;13.12;0
116;18.88;13.12;0
117;18.88;12.80;0
118;18.88;13.12;0
119;18.88;12.80;0
120;18.88;13.12;0
121;18.88;13.12;0
122;18.88;13.12;0
123;18.88;13.12;0
124;18.88;13.12;0
125;18.56;12.80;0
126;18.88;13.12;0
127;18.56;13.12;0
128;18.56;13.12;0
129;18.56;13.12;0
130;18.56;13.12;0
131;18.56;13.12;0
132;18.56;13.12;0
133;18.56;12.80;0
134;18.56;13.12;0
135;18.56;12.80;0
136;18.56;13.12;0
137;18.56;13.12;0
138;18.56;13.12;0
139;18.56;13.12;0
140;18.56;13.12;0
141;18.56;12.80;0
142;18.56;13.12;0
143;18.56;12.80;0
144;18.56;13.12;0
145;18.56;12.80;0
146;18.56;13.12;0
147;18.56;12.80;0
148;18.56;13.12;0
149;18.56;12.80;0
150;18.56;13.12;0
151;18.56;12.80;0
152;18.56;13.12;0
153;18.56;12.80;0
154;18.56;12.80;0
155;18.56;12.80;0
156;18.56;12.80;0
157;18.56;12.80;0
158;18.56;12.80;0
159;18.56;12.80;0
160;18.56;12.80;0
161;18.56;12.80;0
162;18.56;12.80;0
163;18.56;12.80;0
164;18.56;12.80;0
165;18.56;12.80;0
166;18.56;12.80;0
167;18.56;12.80;0
168;18.56;12.80;0
169;18.56;12.80;0
170;18.56;12.80;0
171;18.56;12.80;0
172;18.56;12.80;0
173;18.56;12.80;0
174;18.56;12.80;0
175;18.56;12.80;0
176;18.56;12.80;0
177;18.56;12.80;0
178;18.56;12.80;0
179;18.56;12.80;0
180;18.56;12.80;0
181;18.56;12.80;0
182;18.56;12.80;0
183;18.56;12.80;0
184;18.56;12.80;0
185;18.56;12.80;0
186;18.56;12.80;0
187;18.24;12.80;0
188;18.56;12.80;0
189;18.56;12.80;0
190;18.56;12.80;0
191;18.56;12.48;0
192;18.56;12.48;0
193;18.24;12.48;0
194;18.24;12.48;0
195;18.24;12.48;0
196;18.24;12.48;0
197;18.24;12.48;0
198;18.24;12.48;0
199;17.92;12.48;0
200;17.92;12.80;0
201;17.60;12.80;0
202;17.60;12.80;0
203;17.60;12.80;0
204;17.60;12.80;0
205;17.28;12.80;0
206;17.28;12.80;0
207;17.28;12.48;0
208;17.28;12.80;0
209;16.96;12.48;0
210;16.96;12.80;0
211;16.96;12.48;0
212;16.96;12.48;0
213;16.96;12.48;0
214;16.96;12.48;0
215;16.96;12.48;0
216;16.96;12.48;0
217;16.64;12.48;0
218;16.64;12.48;0
219;16.64;12.48;0
220;16.64;12.48;0
221;16.64;12.48;0
222;16.64;12.48;0
223;16.64;12.48;0
224;16.64;12.48;0
225;16.32;12.48;0
226;16.32;12.48;0
227;16.32;12.48;0
228;16.32;12.48;0
229;16.32;12.48;0
230;16.32;12.48;0
231;16.32;12.48;0
232;16.32;12.48;0
233;16.32;12.48;0
234;16.32;12.48;0
235;16.00;12.48;0
236;16.00;12.48;0
237;16.00;12.48;0
238;16.00;12.48;0
239;16.00;12.48;0
240;16.00;12.48;0
241;16.00;12.16;0
242;16.00;12.48;0
243;16.00;12.48;0
244;16.00;12.48;0
245;16.00;12.16;0
246;16.00;12.16;0
247;16.00;12.16;0
248;16.00;12.16;0
249;16.00;12.16;0
250;16.00;12.16;0
251;16.00;12.16;0
252;16.00;12.16;0
253;15.68;12.16;0
254;15.68;12.16;0
255;15.68;12.16;0
256;15.68;12.16;0
257;15.68;12.16;0
258;15.68;12.16;0
259;15.68;12.16;0
260;15.68;12.16;0
261;15.68;12.16;0
262;15.68;12.16;0
263;15.68;12.16;0
264;15.68;12.16;0
265;15.68;12.16;0
266;15.68;12.16;0
267;15.68;12.16;0
268;15.68;12.16;0
269;15.68;12.16;0
270;15.68;12.16;0
271;15.36;12.16;0
272;15.36;12.16;0
273;15.36;12.16;0
274;15.36;12.16;0
275;15.36;12.16;0
276;15.36;12.16;0
277;15.36;12.16;0
278;15.36;12.16;0
279;15.36;12.16;0
280;15.36;12.16;0
281;15.36;12.16;0
282;15.36;12.16;0
283;15.36;12.16;0
284;15.36;12.16;0
285;15.36;12.16;0
286;15.36;12.16;0
287;15.36;12.16;0
288;15.36;12.16;0
289;15.36;12.16;0
290;15.36;12.16;0
291;15.36;12.16;0
292;15.36;12.16;0
293;15.36;12.16;0
294;15.36;12.16;0
295;15.04;11.84;0
296;15.04;12.16;0
297;15.04;11.84;0
298;15.04;11.84;0
299;15.04;11.84;0
300;15.04;12.16;0
301;15.04;11.84;0
302;15.04;12.16;0
303;15.04;12.16;0
304;15.04;12.16;0
305;15.04;11.84;0
306;15.04;11.84;0
307;15.04;11.84;0
308;15.04;11.84;0
309;15.04;11.84;0
310;15.04;11.84;0
311;15.04;11.84;0
312;15.04;11.84;0
313;15.04;11.84;0
314;15.04;11.84;0
315;15.04;11.84;0
316;15.04;11.84;0
317;15.04;11.84;0
318;15.04;12.16;0
319;15.04;11.84;0
320;15.04;11.84;0
321;15.04;11.84;0
322;15.04;11.84;0
323;15.04;11.84;0
324;14.72;11.84;0
325;14.72;11.84;0
326;14.72;11.84;0
327;14.72;11.84;0
328;14.72;11.84;0
329;14.72;11.84;0
330;14.72;11.84;0
331;14.72;11.84;0
332;14.72;11.84;0
333;14.72;11.84;0
334;14.72;11.84;0
335;14.72;11.84;0
336;14.72;11.84;0
337;14.72;11.84;0
338;14.72;11.84;0
339;14.72;11.84;0
340;14.72;11.84;0
341;14.72;11.84;0
342;14.72;11.84;0
343;14.72;11.84;0
344;14.72;12.16;0
345;14.72;11.84;0
346;14.72;12.16;0
347;14.72;11.84;0
348;14.72;12.16;0
349;14.72;11.84;0
350;14.72;12.16;0
351;14.72;11.84;0
352;14.72;12.16;0
353;14.72;11.84;0
354;14.72;12.16;0
355;14.72;11.84;0
356;14.72;11.84;0
357;14.40;11.84;0
358;14.72;12.16;0
359;14.40;11.84;0
360;14.72;11.84;0
361;14.72;11.84;0
362;14.40;11.84;0
363;14.40;11.84;0
364;14.72;11.84;0
365;14.40;11.84;0
366;14.40;12.16;0
367;14.40;11.84;0
368;14.40;11.84;0
369;14.40;11.84;0
370;14.40;12.16;0
371;14.40;11.84;0
372;14.40;11.84;0
373;14.40;11.84;0
374;14.40;11.84;0
375;14.40;11.84;0
376;14.40;11.84;0
377;14.40;11.84;0
378;14.40;12.16;0
379;14.40;11.84;0
380;14.40;11.84;0
381;14.40;11.84;0
382;14.40;12.16;0
383;14.40;11.84;0
384;14.40;12.16;0
385;14.40;11.84;0
386;14.40;11.84;0
387;14.40;11.84;0
388;14.40;11.84;0
389;14.40;11.84;0
390;14.40;11.84;0
391;14.40;11.84;0
392;14.40;11.84;0
393;14.40;11.84;0
394;14.40;11.84;0
395;14.40;11.84;0
396;14.40;11.84;0
397;14.40;11.84;0
398;14.40;11.84;0
399;14.40;11.84;0
400;14.40;11.84;0
401;14.40;11.84;0
402;14.40;11.84;0
403;14.40;11.84;0
404;14.40;11.84;0
405;14.40;11.84;0
406;14.40;11.84;0
407;14.40;11.84;0
408;14.40;11.84;0
409;14.40;11.84;0
410;14.08;11.84;0
411;14.08;11.84;0
412;14.08;11.84;0
413;14.08;11.84;0
414;14.08;11.84;0
415;14.08;11.84;0
416;14.08;11.84;0
417;14.08;11.52;0
418;14.08;11.52;0
419;14.08;11.52;0
420;14.08;11.52;0
421;14.08;11.52;0
422;14.08;11.84;0
423;14.08;11.84;0
424;14.08;11.84;0
425;14.08;11.52;0
426;14.08;11.52;0
427;14.08;11.52;0
428;14.08;11.52;0
429;14.08;11.52;0
430;14.08;11.52;0
431;14.08;11.52;0
432;14.08;11.52;0
433;14.08;11.52;0
434;14.08;11.52;0
435;14.08;11.52;0
436;14.08;11.52;0
437;14.08;11.52;0
438;14.08;11.52;0
439;14.08;11.52;0
440;14.08;11.52;0
441;14.08;11.52;0
442;14.08;11.52;0
443;14.08;11.52;0
444;14.08;11.52;0
445;13.76;11.52;0
446;14.08;11.52;0
447;13.76;11.52;0
448;13.76;11.52;0
449;13.76;11.52;0
450;13.76;11.52;0
451;13.76;11.52;0
452;13.76;11.52;0
453;13.76;11.52;0
454;13.76;11.52;0
455;13.76;11.52;0
456;13.76;11.52;0
457;13.76;11.52;0
458;13.76;11.52;0
459;13.76;11.52;0
460;13.76;11.52;0
461;13.76;11.52;0
462;13.76;11.52;0
463;13.76;11.52;0
464;13.76;11.52;0
465;13.76;11.52;0
466;13.76;11.52;0
467;13.76;11.52;0
468;13.76;11.52;0
469;13.76;11.52;0
470;13.76;11.52;0
471;13.76;11.52;0
472;13.76;11.52;0
473;13.76;11.52;0
474;13.76;11.52;0
475;13.76;11.52;0
476;13.76;11.52;0
477;13.76;11.52;0
478;13.76;11.52;0
479;13.76;11.52;0
480;13.76;11.52;0
481;13.76;11.52;0
482;13.76;11.52;0
483;13.76;11.52;0
484;13.76;11.52;0
485;13.76;11.52;0
486;13.76;11.52;0
487;13.76;11.52;0
488;13.76;11.52;0
489;13.44;11.52;0
490;13.76;11.52;0
491;13.76;11.52;0
492;13.76;11.52;0
493;13.44;11.20;0
494;13.44;11.52;0
495;13.44;11.20;0
496;13.44;11.52;0
